Date/Time,Word Count,de,en,es,fr,pt,ru,uk,zh
2022.05.31-18.02.33,1387,0,1387,0,0,0,0,0,0
2022.05.31-18.05.14,1387,0,1387,0,0,0,2,0,0
2022.06.01-09.44.11,1387,0,1387,0,0,0,10,0,0
2022.06.01-12.20.18,1394,0,1394,0,0,0,10,0,0
2022.06.01-13.16.20,1394,0,1394,0,0,0,149,0,0
2022.06.02-01.59.00,1567,0,1567,0,0,0,148,0,0
2022.06.02-13.02.47,1408,0,1408,0,0,0,148,0,0
2022.06.02-13.15.07,1408,0,1408,0,0,0,150,0,0
2022.06.02-13.17.44,1408,0,1408,0,0,0,152,0,0
2022.06.02-15.56.34,1408,0,1408,0,0,0,231,0,0
2022.06.03-22.09.00,1434,0,1434,0,0,0,231,0,0
2022.06.03-22.10.45,1434,0,1434,0,0,0,233,0,0
2022.06.04-20.55.40,1408,0,1408,0,0,0,255,0,0
2022.06.04-20.56.45,1648,0,1648,0,0,0,255,0,0
2022.06.05-21.58.48,1810,0,1810,0,0,0,255,0,0
2022.06.06-23.53.19,2123,0,2123,0,0,0,254,0,0
2022.06.07-00.36.00,2126,0,2126,0,0,0,260,0,0
2022.06.07-01.26.28,2134,0,2134,0,0,0,260,0,0
2022.06.07-01.46.34,2136,0,2136,0,0,0,260,0,0
2022.06.07-13.23.21,2181,0,2181,0,0,0,247,0,0
2022.06.07-21.03.12,2289,0,2289,0,0,0,257,0,0
2022.06.07-21.39.22,2289,0,2289,0,30,0,257,0,0
2022.06.08-00.05.12,2289,0,2289,0,295,0,257,0,0
2022.06.08-11.19.49,2289,0,2289,0,295,0,257,0,300
2022.06.08-11.35.13,2289,0,2289,0,296,0,257,0,300
2022.06.08-14.29.59,2359,0,2359,0,296,0,257,0,300
2022.06.08-16.22.50,2359,347,2359,0,296,0,257,0,300
2022.06.08-16.48.20,2359,347,2359,0,343,0,257,0,300
2022.06.08-17.08.13,2359,347,2359,0,343,0,257,0,347
2022.06.09-11.33.46,2359,347,2359,344,343,0,257,0,347
2022.06.09-12.37.58,2359,347,2359,344,343,347,257,0,347
2022.06.09-13.10.19,2359,274,2359,271,270,274,257,0,274
2022.06.09-15.33.46,2365,274,2365,271,270,274,257,0,274
2022.06.09-16.26.21,2365,373,2365,271,270,274,257,0,274
2022.06.09-16.46.48,2373,373,2373,271,270,274,256,0,274
2022.06.09-17.40.47,2373,375,2373,271,363,274,256,0,375
2022.06.09-20.47.41,2373,375,2373,372,363,375,256,123,375
2022.06.10-00.37.45,2374,373,2374,370,361,373,254,121,373
2022.06.10-10.25.59,2378,373,2378,370,361,373,254,121,373
2022.06.10-14.33.37,2378,404,2378,401,392,404,598,473,404
2022.06.10-16.24.34,2380,403,2380,400,391,403,597,472,403
2022.06.10-17.30.04,2380,408,2380,405,396,408,600,477,408
2022.06.10-19.47.15,2380,411,2380,408,399,411,603,480,411
2022.06.10-23.40.45,2422,409,2422,406,397,409,601,478,409
2022.06.11-09.55.07,2421,407,2421,404,395,407,599,476,407
2022.06.11-17.29.38,2421,418,2421,404,395,407,599,476,407
2022.06.11-20.27.55,2421,429,2421,415,406,418,601,480,418
2022.06.11-20.42.03,2422,429,2422,415,406,418,601,480,418
